Date,GOOGL,FB,BIDU,LNKD,TWTR,ORCL,SAP,ADBE,IBM,MSFT,CSCO,T,VZ,NTT,WFC,JPM,BAC,C,BRK-B,AIG,HSBC,V,AXP,MA,GS,SCHW,DIS,CMCSA,TWX,BABA,TWC,WMT,COST,TGT,HD,PCLN,JNJ,NVS,PFE,MRK,GSK,BMY,GILD,AMGN,UNH,AET,CVS,AAPL,PG,UN,UL,TM,HMC,F,GM,KO,PEP,BUD,ABEV
2015-12-02,777.849976,106.07,211.360001,245.509995,25.40,38.700001,79.129997,92.019997,139.699997,55.209999,27.440001,33.560001,44.919998,38.099998,55.080002,66.660004,17.620001,54.139999,135.270004,63.50,40.130001,79.040001,71.199997,97.099998,190.259995,33.59,114.00,60.48,70.019997,85.00,184.619995,58.349998,161.089996,71.93,133.809998,1275.439941,102.050003,85.019997,32.900002,53.82,40.919998,67.779999,104.440002,160.520004,117.639999,106.93,94.50,116.279999,75.790001,44.139999,43.049999,125.739998,32.93,14.26,35.73,42.77,99.480003,127.739998,4.82
2015-12-01,783.789978,107.120003,214.110001,249.820007,25.530001,39.23,79.720001,92.550003,141.279999,55.220001,27.57,33.77,45.580002,37.919998,55.709999,67.610001,17.809999,54.880001,136.429993,64.120003,40.650002,79.910004,72.199997,97.93,193.070007,34.02,115.389999,61.75,71.040001,84.00,186.50,58.990002,161.289993,72.809998,134.429993,1282.50,102.360001,85.949997,33.619999,54.57,40.919998,68.260002,105.849998,161.979996,116.260002,107.50,95.449997,117.339996,75.940002,43.790001,42.98,125.919998,33.32,14.56,36.259998,42.889999,101.059998,128.619995,4.81
2015-11-30,762.849976,104.239998,217.970001,243.110001,25.40,38.970001,79.00,91.459999,139.419998,54.349998,27.25,33.669998,45.450001,37.27,55.099998,66.68,17.43,54.09,134.089996,63.580002,39.900002,79.010002,71.639999,97.919998,190.020004,33.709999,113.470001,60.860001,69.980003,84.080002,184.770004,58.84,161.419998,72.50,133.880005,1248.849976,101.239998,85.239998,32.77,53.009998,40.509998,67.010002,105.959999,161.100006,112.709999,102.75,94.089996,118.300003,74.839996,43.740002,42.849998,124.419998,32.68,14.33,36.200001,42.619999,100.160004,128.460007,4.77
2015-11-27,771.969971,105.449997,205.580002,244.589996,25.75,39.18,79.050003,92.169998,138.460007,53.93,27.32,33.57,45.23,38.060001,55.389999,67.169998,17.48,54.209999,134.630005,63.68,40.119999,79.839996,71.849998,98.669998,190.470001,33.740002,115.129997,61.59,69.779999,81.379997,185.259995,59.889999,163.580002,73.440002,134.740005,1244.98999,102.370003,85.839996,32.790001,53.959999,40.959999,67.849998,108.00,163.520004,114.339996,104.059998,94.629997,117.809998,75.699997,44.639999,43.57,124.370003,32.630001,14.53,36.369999,43.150002,100.739998,129.139999,4.90
2015-11-25,769.26001,105.410004,201.800003,245.660004,26.059999,39.259998,79.00,91.769997,138.00,53.689999,27.24,33.450001,44.919998,37.84,55.220001,66.860001,17.440001,54.080002,135.130005,63.150002,40.16,79.559998,71.690002,98.160004,189.149994,33.689999,118.669998,61.400002,70.300003,81.709999,183.800003,60.240002,162.389999,73.160004,134.649994,1245.75,101.959999,85.949997,32.869999,53.720001,40.700001,68.080002,107.779999,163.949997,114.410004,103.949997,93.900002,118.029999,75.900002,44.580002,43.689999,123.860001,32.599998,14.55,36.34,43.360001,100.50,129.139999,4.96
2015-11-24,769.630005,105.739998,205.330002,246.919998,25.52,39.459999,78.639999,92.00,138.600006,54.25,27.27,33.389999,45.189999,38.200001,55.279999,66.779999,17.469999,54.18,135.539993,63.119999,40.029999,79.790001,71.629997,98.50,188.669998,33.50,117.949997,61.66,70.190002,80.860001,183.649994,59.919998,162.190002,72.889999,133.600006,1240.180054,102.040001,86.400002,31.969999,53.48,40.389999,67.82,106.57,162.779999,113.190002,106.080002,92.25,118.879997,76.449997,43.970001,43.080002,124.019997,32.889999,14.55,36.220001,43.360001,100.629997,127.93,5.06
2015-11-23,776.700012,106.949997,207.460007,251.089996,25.200001,39.139999,79.099998,91.959999,138.460007,54.189999,27.43,33.459999,44.990002,38.290001,55.599998,66.879997,17.469999,54.279999,135.990005,62.759998,40.349998,80.110001,72.239998,99.370003,189.190002,33.290001,119.419998,62.130001,70.519997,81.309998,184.419998,60.259998,163.449997,72.279999,132.50,1264.319946,102.769997,86.650002,31.33,54.009998,40.41,67.989998,106.360001,162.470001,112.160004,105.709999,91.559998,117.75,75.970001,44.279999,43.25,123.120003,32.650002,14.55,36.080002,42.959999,100.849998,126.489998,5.06
2015-11-20,777.00,107.32,206.690002,252.869995,26.27,39.34,79.769997,91.809998,138.50,54.189999,27.57,33.66,45.389999,38.560001,55.82,67.540001,17.65,54.75,136.630005,62.209999,40.310001,80.190002,72.419998,99.50,191.470001,33.34,120.07,62.900002,70.720001,79.949997,184.50,60.07,163.100006,70.830002,130.210007,1281.530029,102.480003,88.349998,32.18,54.099998,41.119999,67.82,106.540001,159.910004,112.970001,104.43,91.93,119.300003,75.82,44.580002,43.529999,123.669998,32.779999,14.60,36.34,42.43,100.099998,125.849998,5.17
2015-11-19,759.940002,106.260002,207.800003,250.210007,26.32,39.02,80.160004,91.760002,136.740005,53.939999,27.370001,33.619999,45.759998,38.50,55.970001,67.660004,17.690001,55.060001,136.630005,61.98,40.200001,80.150002,72.739998,98.93,193.029999,33.040001,118.709999,62.619999,70.980003,77.870003,184.00,60.700001,162.830002,70.550003,126.860001,1284.650024,102.489998,88.57,32.290001,54.279999,41.189999,66.940002,106.510002,159.490005,110.629997,99.889999,92.489998,118.779999,76.220001,44.380001,43.459999,123.889999,32.950001,14.57,36.139999,43.110001,100.93,124.769997,5.14
2015-11-18,760.01001,107.769997,204.729996,248.759995,25.90,38.700001,79.389999,91.269997,135.820007,53.849998,27.120001,33.540001,45.380001,38.52,55.669998,67.449997,17.84,54.98,136.220001,61.959999,39.830002,80.459999,72.150002,99.160004,193.660004,33.400002,118.139999,62.560001,71.769997,77.690002,184.789993,60.93,161.25,69.779999,126.540001,1278.50,102.669998,88.470001,33.310001,54.23,41.00,67.610001,108.129997,160.919998,117.25,106.860001,95.190002,117.290001,75.900002,44.009998,43.189999,124.910004,32.810001,14.46,36.459999,42.279999,100.269997,126.040001,5.13
2015-11-17,745.97998,105.129997,196.830002,245.320007,25.23,38.130001,78.139999,90.290001,133.820007,52.970001,26.809999,33.259998,45.080002,38.689999,54.959999,66.129997,17.42,53.490002,133.089996,61.00,39.41,78.830002,71.110001,98.07,190.570007,32.810001,116.129997,61.130001,70.459999,78.129997,184.00,59.919998,158.889999,72.910004,126.18,1258.790039,101.50,87.419998,32.869999,53.709999,40.630001,65.730003,104.529999,157.600006,114.389999,105.279999,93.790001,113.690002,75.07,43.560001,42.810001,123.150002,32.43,14.15,35.209999,41.669998,98.830002,124.910004,5.01
2015-11-16,750.419983,104.040001,198.720001,246.479996,25.41,38.119999,78.029999,89.769997,133.710007,53.77,26.790001,33.040001,45.040001,38.919998,55.27,66.510002,17.43,53.689999,133.300003,60.66,39.220001,78.900002,71.660004,98.300003,192.160004,32.59,115.919998,61.349998,71.099998,78.300003,185.839996,57.869999,156.449997,72.309998,120.839996,1266.869995,101.220001,87.050003,33.16,53.700001,40.23,65.019997,103.809998,154.50,113.82,105.010002,93.620003,114.18,75.300003,43.32,42.50,122.040001,32.610001,14.04,35.169998,41.959999,99.559998,122.389999,4.97
2015-11-13,740.070007,103.949997,193.949997,243.00,25.18,37.299999,77.959999,89.019997,131.75,52.84,26.209999,32.310001,44.23,37.889999,54.57,65.559998,17.200001,53.169998,131.960007,59.310001,38.919998,78.110001,71.199997,96.860001,190.389999,32.310001,114.839996,60.23,69.93,75.849998,185.429993,56.419998,153.669998,71.889999,120.00,1297.75,99.879997,86.279999,33.27,53.029999,39.869999,64.150002,102.57,151.550003,111.410004,102.209999,91.809998,112.339996,73.959999,42.669998,42.00,121.269997,32.130001,13.92,34.310001,41.380001,98.040001,120.129997,4.93
2015-11-12,756.530029,108.019997,198.139999,252.960007,26.129999,38.630001,79.139999,90.839996,133.039993,53.32,27.83,32.689999,44.830002,38.360001,55.169998,66.00,17.370001,53.459999,132.779999,59.380001,39.57,78.309998,71.980003,98.279999,192.770004,32.790001,116.209999,61.490002,70.419998,78.760002,188.940002,56.950001,156.00,74.93,123.809998,1314.01001,100.269997,86.860001,33.389999,53.029999,40.049999,63.720001,104.230003,150.979996,112.82,103.110001,93.120003,115.720001,74.660004,43.650002,42.599998,121.730003,32.220001,14.04,35.09,41.580002,98.370003,121.230003,4.95
